Comment,Designator,Footprint,LCSC
220,R10,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
220,R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
Screw_Terminal_01x02,J3,"PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",
1u,C5,C_Disc_D7.5mm_W2.5mm_P5.00mm,
1u,C4,C_Disc_D7.5mm_W2.5mm_P5.00mm,
1u,C3,C_Disc_D7.5mm_W2.5mm_P5.00mm,
22u,C2,CP_Radial_D5.0mm_P2.50mm,
22u,C11,CP_Radial_D5.0mm_P2.50mm,
R_Potentiometer,RV3,Potentiometer_Bourns_3266Y_Vertical,
3k,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
10,R26,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
22u,C8,CP_Radial_D5.0mm_P2.50mm,
10k,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
10u,C7,CP_Radial_D5.0mm_P2.50mm,
Q_PNP_CBE,Q1,TO-92_Inline_Wide,
22u,C9,CP_Radial_D5.0mm_P2.50mm,
LM324,U4,SOIC-14_3.9x8.7mm_P1.27mm,
10k,R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
22u,C1,CP_Radial_D5.0mm_P2.50mm,
Q_NPN_CBE,Q4,TO-92_Inline_Wide,
SW_DIP_x04,SW3,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,
10k,R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
220,R27,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
Q_NPN_CBE,Q2,TO-92_Inline_Wide,
Q_NPN_CBE,Q3,TO-92_Inline_Wide,
680,R25,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
PAM8302AAD,U2,SOIC-8_3.9x4.9mm_P1.27mm,
SW_DIP_x04,SW2,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,
25k,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
2,R28,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
AudioJack4,J1,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,
10u,R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
22u,C13,CP_Radial_D5.0mm_P2.50mm,
22u,C10,CP_Radial_D5.0mm_P2.50mm,
AudioJack4,J2,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,
22u,C18,CP_Radial_D5.0mm_P2.50mm,
10k,R8,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
25k,R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
22u,C12,CP_Radial_D5.0mm_P2.50mm,
