Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,CP_Radial_D5.0mm_P2.50mm,135.224888,-113.426,0.0,top
C2,22u,CP_Radial_D5.0mm_P2.50mm,96.945888,-88.265,0.0,top
C3,1u,C_Disc_D7.5mm_W2.5mm_P5.00mm,60.579,-131.064,90.0,top
C4,1u,C_Disc_D7.5mm_W2.5mm_P5.00mm,89.027,-94.234,90.0,top
C5,1u,C_Disc_D7.5mm_W2.5mm_P5.00mm,121.031,-135.001,0.0,top
C7,10u,CP_Radial_D5.0mm_P2.50mm,129.338,-115.413112,90.0,top
C8,22u,CP_Radial_D5.0mm_P2.50mm,141.403,-120.431,90.0,top
C9,22u,CP_Radial_D5.0mm_P2.50mm,122.079,-141.366,0.0,top
C10,22u,CP_Radial_D5.0mm_P2.50mm,135.426888,-138.176,0.0,top
C11,22u,CP_Radial_D5.0mm_P2.50mm,81.705888,-117.475,0.0,top
C12,22u,CP_Radial_D5.0mm_P2.50mm,74.974888,-90.297,0.0,top
C13,22u,CP_Radial_D5.0mm_P2.50mm,75.101888,-96.774,0.0,top
C18,22u,CP_Radial_D5.0mm_P2.50mm,74.93,-112.566887,-90.0,top
J1,AudioJack4,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,54.077,-113.867,0.0,top
J2,AudioJack4,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,141.224,-95.631,180.0,top
J3,Screw_Terminal_01x02,"PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",56.1455,-130.992,-90.0,top
Q1,Q_PNP_CBE,TO-92_Inline_Wide,140.06,-130.302,90.0,top
Q2,Q_NPN_CBE,TO-92_Inline_Wide,126.036,-109.976,0.0,top
Q3,Q_NPN_CBE,TO-92_Inline_Wide,74.803,-123.519,180.0,top
Q4,Q_NPN_CBE,TO-92_Inline_Wide,74.803,-117.729,180.0,top
R1,3k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,129.211,-121.92,90.0,top
R2,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,126.036,-105.806,0.0,top
R3,25k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,131.497,-121.92,90.0,top
R4,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,125.909,-103.393,180.0,top
R5,10u,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,129.273112,-135.651,180.0,top
R6,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,129.019112,-138.039,0.0,top
R7,25k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,129.019112,-141.189,0.0,top
R8,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,53.467,-94.742,90.0,top
R9,220,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,143.383,-135.001,90.0,top
R10,220,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,145.796,-133.35,90.0,top
R25,680,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,66.802,-117.729,180.0,top
R26,10,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,66.799563,-120.023,0.0,top
R27,220,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,66.802,-115.443,180.0,top
R28,2,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,72.263,-129.921,-90.0,top
RV3,R_Potentiometer,Potentiometer_Bourns_3266Y_Vertical,135.434,-122.316,90.0,top
SW2,SW_DIP_x04,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,61.087,-97.282,0.0,top
SW3,SW_DIP_x04,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,125.984,-92.075,180.0,top
U2,PAM8302AAD,SOIC-8_3.9x4.9mm_P1.27mm,83.185001,-91.567,0.0,top
U4,LM324,SOIC-14_3.9x8.7mm_P1.27mm,132.194112,-130.19,-90.0,top
